"resultNumber","lemma","senseNumber","snippet"
"350","aanpassingsklas","1.0","schakelklas"
"351","aanpassingsmaatregel","0.0",""
"352","aanpassingsmoeilijkheden","1.0","moeilijkheden bij het zich aanpassen"
"353","aanpassingsperiode","1.0","periode om zich aan te passen"
"354","aanplakbrief","1.0","biljet dat aangeplakt wordt"
"355","aanplakker","0.0",""
"356","aanplakking","1.0",""
"357","aanplakzuil","1.0",""
"358","aanplant","1.0",""
"359","aanplanting","1.0",""
"360","aanprijzing","1.0",""
"361","aanrader","1.0",""
"362","aanraking","1.0",""
"363","aanrander","1.0",""
"364","aanranding","1.0",""
"365","aanrecht","1.0","keukenmeubel"
"366","aanrecht","1.1","aanrechtblad"
"367","aanrecht","1.2","gootsteen"
"368","aanrechtsubsidie","1.0","belastingsregeling voor niet-werkende partners"
"369","aanrekening","1.0",""
"370","aanrijding","1.0",""
"371","aanrijtijd","1.0","tijd die hulpdiensten nodig hebben"
"372","aanroeping","1.0",""
"373","aanschafbelasting","1.0","belasting over het aankoopbedrag"
"374","aanschaffing","1.0",""
"375","aanschafkosten","1.0",""
"376","aanschafprijs","1.0",""
"377","aanscherping","1.0",""
"378","aanschouwelijkheid","0.0",""
"379","aanschouwing","1.0",""
"380","aanschrijving","1.0",""
"381","aanslag","1.0",""
"382","aanslagregelaar","0.0",""
"383","aanslagvoet","1.0",""
"384","aanslibbing","1.0",""
"385","aansluiting","1.0",""
"386","aansluitingskosten","0.0",""
"387","aansluitingstreffer","1.0","doelpunt dat achterstand verkleint"
"388","aansluitmogelijkheid","1.0","mogelijkheid om iets aan te sluiten"
"389","aansluitmogelijkheid","2.0","mogelijkheid tot aansluiting op trein of bus"
"390","aanspanning","1.0",""
"391","aansporing","1.0",""
"392","aanspraak","1.0",""
"393","aansprakelijkheid","1.0",""
"394","aansprakelijkheidsverzekeraar","0.0",""
"395","aansprakelijkheidsverzekering","1.0",""
"396","aansprakelijkstelling","0.0",""
"397","aanspreekbaarheid","1.0",""
"398","aanspreektitel","1.0",""
"399","aanspreekvorm","1.0",""
"400","aanspreker","1.0","iemand die ter begrafenis nodigt"
"401","aanspreking","1.0",""
"402","aanstaande","1.0","toekomstige huwelijkspartner"
"403","aansteker","1.0","apparaat om rookwaar mee aan te steken"
"404","aansteker","1.1","apparaat om kaarsen e.d. mee aan te steken"
"405","aansteller","1.0",""
"406","aanstellerij","1.0",""
"407","aanstelleritis","0.0",""
"408","aanstelling","1.0",""
"409","aanstellingsbrief","1.0","brief waarin een aanstelling bevestigd wordt"
"410","aanstellingskeuring","1.0",""
"411","aanstichter","1.0",""
"412","aanstichting","0.0",""
"413","aanstichtster","0.0",""
"414","aanstoker","1.0",""
"415","aansturing","1.0",""
"416","aantasting","1.0",""
"417","aantekening","1.0","korte notitie"
"418","aantekening","2.0","schriftelijke opmerking"
"419","aantekening","3.0","bedenking"
"420","aantekening","4.1","vermelding op een document"
"421","aantekening","4.2","vermelding op een formulier"
"422","aantekening","4.3","vermelding op een diploma"
"423","aantijging","1.0",""
"424","aantrekkelijkheid","1.0",""
"425","aantrekker","1.0",""
"426","aantrekking","1.0",""
"427","aantrekkingskracht","1.0",""
"428","aanvaardbaarheid","1.0",""
"429","aanvaarding","1.0",""
"430","aanvaardingsplicht","1.0","plicht om iets te aanvaarden"
"431","aanvaardingsplichtige","1.0","instantie die aanvaardingsplichtig is"
"432","aanvaardingsrede","1.0","rede bij een ambtsaanvaarding"
"433","aanvaardingsrede","2.0","rede bij een prijstoekenning"
"434","aanvaardingstoespraak","1.0","toespraak bij een ambtsaanvaarding"
"435","aanvaardingstoespraak","2.0","toespraak bij een prijstoekenning"
"436","aanval","1.0",""
"437","aanvaller","1.0","iemand die aanvalt"
"438","aanvaller","1.1","dier dat aanvalt"
"439","aanvaller","1.2","organisme, bv. een dier, dat een ander dier of iets anders aanvalt; iets dat een aanval pleegt op iets anders"
"440","aanvaller","2.0","sporter"
"441","aanvaller","2.1","voorhoedespeler"
"442","aanvalsactie","1.0",""
"443","aanvalsdrift","1.0",""
"444","aanvalsfout","0.0",""
"445","aanvalsgolf","1.0",""
"446","aanvalshelft","0.0",""
"447","aanvalshelikopter","0.0",""
"448","aanvalshond","1.0","vechthond"
"449","aanvalskans","1.0",""
"450","aanvalskracht","1.0",""
"451","aanvalsleider","0.0",""
"452","aanvalslinie","0.0",""
"453","aanvalslust","1.0","lust om aan te vallen"
"454","aanvalsmacht","0.0",""
"455","aanvalsoorlog","0.0",""
"456","aanvalsopbouw","0.0",""
"457","aanvalspartij","0.0",""
"458","aanvalspoging","0.0",""
"459","aanvalsspeler","0.0",""
"460","aanvalster","1.0",""
"461","aanvang","1.0",""
"462","aanvangsdatum","1.0","datum waarop iets aanvangt"
"463","aanvangsfase","0.0",""
"464","aanvangshoogte","0.0",""
"465","aanvangsklas","0.0",""
"466","aanvangskosten","0.0",""
"467","aanvangsrit","0.0",""
"468","aanvangssnelheid","0.0",""
"469","aanvangstijd","1.0","eerste deel van een langere tijdsruimte"
"470","aanvangstijd","2.0","tijdstip waarop iets begint"
"471","aanvangswedstrijd","1.0",""
"472","aanvaring","1.0",""
"473","aanvechting","1.0",""
"474","aanverwante","0.0",""
"475","aanvliegroute","1.0",""
"476","aanvoeling","0.0",""
"477","aanvoer","1.0",""
"478","aanvoerder","1.0","persoon die een groep aanvoert"
"479","aanvoerder","1.1","militair aanvoerder"
"480","aanvoerder","1.2","leidend musicus; frontman"
"481","aanvoerder","1.3","lijsttrekker"
"482","aanvoerder","2.0","leider van een sportteam"
"483","aanvoerder","3.0","hoogst genoteerde; koploper"
"484","aanvoerder","3.1","hoogst genoteerde sporter; kopman"
"485","aanvoerder","4.0","toonaangevend persoon"
"486","aanvoerder","5.0","degene die goederen aanvoert"
