"resultNumber","lemma","senseNumber","snippet"
"248","bloemenhoning","0.0",""
"249","bloemkool","1.1","<i>bloemkool</i> als stof"
"250","bloemmengsel","0.0",""
"251","bloemsuiker","1.0","poedersuiker"
"252","bloody mary","1.0","cocktail van wodka"
"253","blue hawaiian","1.0","cocktail van witte rum"
"254","bluswater","1.0",""
"255","bockbier","1.0","seizoensbier van lage gisting"
"256","bodemvocht","0.0",""
"257","bodemwater","0.0",""
"258","bodemzout","1.0","vaste, steenachtige zoutsubstantie"
"259","boenwas","1.0","boenmiddel met was"
"260","boerderijkip","1.1","boerderijkip als gerecht"
"261","boerenboter","0.0",""
"262","boerenkaas","1.0",""
"263","boerenkip","1.1","vlees van de boerenkip"
"264","boerenkoffie","1.0","koffie van de boer"
"265","boerenkoffie","2.0","koffie met kaneel, suiker en brandewijn"
"266","boerenkoolpesto","1.0","pesto van boerenkool"
"267","boezemwater","1.0",""
"268","bofkip","1.0","vegetarisch gerecht met kipsmaak"
"269","bokking","2.0","gerookte haring"
"270","boletri","2.0","boletrihout"
"271","bolletrie","2.0","bolletriehout"
"272","bolus","3.0","vettige klei"
"273","bomijs","0.0",""
"274","bonensoep","0.0",""
"275","bont","A.1.0","harig vel van zachtharige dieren"
"276","boorsel","0.0",""
"277","boorspoeling","0.0",""
"278","boorwater","0.0",""
"279","booster","2.0","lichamelijke oppepper"
"280","booster","5.0","extra vaccinatie"
"281","boostervaccin","1.0","extra dosis van een vaccin"
"282","bordeaux/Bordeaux","3.0","wijn uit de Bordeaux"
"283","bordeauxwijn","1.0","wijn uit de Bordeauxstreek"
"284","bordpapier","0.0",""
"285","borstplaat","1.0",""
"286","borstvoeding","2.0","moedermelk"
"287","bosbessenjam","0.0",""
"288","bot","A.1.1","botweefsel"
"289","bot","B.1.1","bot als consumptievis"
"290","boter","1.0","gekarnde room van melk"
"291","boter","2.0","vervangingsproduct voor boter"
"292","boter","3.0","op boter lijkend vet"
"293","boterkleursel","0.0",""
"294","boterkoek","2.1","<i>boterkoek</i> als stof"
"295","botermelk","1.0","karnemelk"
"296","botermengsel","0.0",""
"297","botervet","0.0",""
"298","botervis","1.0","type vis"
"299","bottelbier","0.0",""
