"resultNumber","lemma","senseNumber","snippet"
"9061","loombandje","1.0","armbandje van loomelastiekjes"
"9062","loombandje","2.0","elastiekje waarmee men loomt"
"9063","loomelastiekje","1.0","elastiekje waarmee men loomt"
"9064","loonakkoord","1.0",""
"9065","loonfiche","0.0",""
"9066","loonslip","0.0",""
"9067","loonzakje","1.0","zakje met het als loon verdiende geld"
"9068","loopbrug","1.0",""
"9069","loopfiets","0.0",""
"9070","loopgravenstelsel","0.0",""
"9071","loopkat","1.0","takeltoestel"
"9072","loopkraan","0.0",""
"9073","looplamp","1.0",""
"9074","loopneus","1.0",""
"9075","looppad","1.0","smalle weg waarover men zich te voet verplaatst"
"9076","looppad","2.0","constructie aangelegd als pad"
"9077","looppad","3.0","smalle loopruimte tussen zitplaatsen enz."
"9078","looppad","4.0","strook van loopsporen in een vloer"
"9079","loopplank","2.0","constructie om op een schip te komen"
"9080","looprek","1.0",""
"9081","loopschoen","0.0",""
"9082","loopstoel","1.0",""
"9083","loospijp","0.0",""
"9084","loostrens","1.0","watergang voor ontwatering"
"9085","loper","5.0","schaakstuk"
"9086","loper","6.0","lang en smal tapijt"
"9087","loper","7.0","sleutel"
"9088","loper","8.0","molensteen"
"9089","lorgnet","1.0","knijpbril"
"9090","lorrenkraam","1.0",""
"9091","lorrie","1.0","wagen op rails"
"9092","lorrie","2.0","bagagewagentje"
"9093","lota","2.0","witte vlek door huidaandoening"
"9094","lota","3.0","koperen beker"
"9095","lounge","1.0",""
"9096","loungecaf\u00E9","1.0","caf\u00E9 waar gelounged wordt"
"9097","loungerestaurant","1.0","restaurant waar gelounged wordt"
"9098","louvredeur","0.0",""
"9099","loveseat","1.0","zitmeubel voor twee mensen"
"9100","loyaliteitsverklaring","1.0",""
"9101","lozingspijp","0.0",""
"9102","L-profiel","1.0","profiel met de vorm van een L"
"9103","lucht","2.0","luchtlaag om de aarde"
"9104","lucht","3.0","uitspansel; hemel"
"9105","luchtafweer","1.0",""
"9106","luchtafweerraket","0.0",""
"9107","luchtalarm","1.0",""
"9108","luchtballon","1.0",""
"9109","luchtband","1.0",""
"9110","luchtbed","1.0",""
"9111","luchtbel","1.0","waarneembaar bolletje lucht"
"9112","luchtbel","1.1","bubbel onder een voorwerp"
"9113","luchtbel","1.2","ruimte met lucht onder water"
"9114","luchtbuks","0.0",""
"9115","luchtbus","0.0",""
"9116","luchtdoelraket","1.0",""
"9117","luchtdrukpistool","0.0",""
"9118","luchtfilter","1.0",""
"9119","luchtfoto","1.0","vanuit de lucht genomen foto"
"9120","luchthaven","1.0","infrastructuur voor vliegtuigvluchten"
"9121","luchthavengebouw","0.0",""
"9122","luchthaventerrein","1.0",""
"9123","luchtkamer","0.0",""
"9124","luchtkanaal","0.0",""
"9125","luchtkavel","1.0","hoge ruimte in een pand"
"9126","luchtklep","0.0",""
