"resultNumber","lemma","senseNumber","snippet"
"1686","bosbewoner","1.0","iemand die in een bos woont"
"1687","bosbouwer","1.0","iemand die aan bosbouw doet"
"1688","bosbouwkundige","0.0",""
"1689","boseigenaar","1.0",""
"1690","bosgod","0.0",""
"1691","bosgodin","0.0",""
"1692","Bosjesman","",""
"1693","Boskoopse","1.0","vrouw uit Boskoop"
"1694","Boskoper","1.0","iemand uit Boskoop"
"1695","Boskoper","1.1","lid e.d. van een club uit Boskoop"
"1696","boslandcreool","1.0","creool uit het oerwoud"
"1697","bosmeester","0.0",""
"1698","bosneger","1.0","creool die afstamt van gevluchte negerslaven"
"1699","Bosni\u00EBr","1.0","iemand uit Bosni\u00EB"
"1700","Bosnische","1.0","vrouw uit Bosni\u00EB"
"1701","Bossche","1.0","vrouw uit Den Bosch"
"1702","Bosschenaar","1.0","iemand uit de stad Den Bosch"
"1703","Bosschenaar","1.1","lid e.d. van een club uit Den Bosch"
"1704","boswachter","1.0","bewaker van een bos"
"1705","botanicus","1.0","plantkundige"
"1706","botanist","1.0","plantkundige"
"1707","boterboer","0.0",""
"1708","botoxtandarts","1.0","tandarts die ook botoxbehandelingen doet"
"1709","bottelaar","0.0",""
"1710","bottenkraker","1.0",""
"1711","botterik","1.0","bot persoon"
"1712","Bourgondi\u00EBr/bourgondi\u00EBr","1.0","Oost-Germaan van de Bourgondische stam"
"1713","Bourgondi\u00EBr/bourgondi\u00EBr","2.0","iemand uit het hertogdom Bourgondi\u00EB"
"1714","Bourgondi\u00EBr/bourgondi\u00EBr","3.0","iemand uit Bourgondi\u00EB"
"1715","Bourgondi\u00EBr/bourgondi\u00EBr","4.0","levensgenieter"
"1716","Bourgondische","1.0","vrouw uit Bourgondi\u00EB"
"1717","bouwdirecteur","0.0",""
"1718","bouwer","1.0","iemand die huizen bouwt"
"1719","bouwer","3.0","iemand die een huis laat bouwen"
"1720","bouwer","4.0","iemand die werktuigen maakt"
"1721","bouwer","4.1","iemand die software maakt"
"1722","bouwer","6.0","iemand die infrastructuurwerken uitvoert"
"1723","bouwer","8.0","iemand die opstellingen maakt"
"1724","bouwer","9.0","iemand die iets onstoffelijks cre\u00EBert"
"1725","bouwer","9.1","iemand die de oorzaak is van iets"
"1726","bouwer","10.0","iemand die iets gebouwd heeft"
"1727","bouwheer","1.0","iemand die laat bouwen"
"1728","bouwkundestudent","0.0",""
"1729","bouwkundige","1.0",""
"1730","bouwmeester","1.0","architect"
"1731","bouwmeester","2.0","(figuurlijk) maker; schepper"
"1732","bouwpromotor","1.0","projectontwikkelaar"
"1733","bouwvakarbeider","1.0",""
"1734","bouwvakker","1.0","iemand die in de bouw werkt"
"1735","bouwwerkgever","1.0",""
"1736","bovenbouwdocent","1.0","docent in de bovenbouw"
"1737","bovenbouwleraar","1.0","leerkracht in de hogere klassen"
"1738","bovenbuurman","1.0",""
"1739","bovenbuurvrouw","0.0",""
"1740","bovenmeester","1.0","hoofdonderwijzer"
"1741","bovenmeester","1.1","iemand, instantie als bovenmeester"
"1742","bovenmeester","2.0","(ironisch) bestuurder in het onderwijs"
"1743","boze/Boze","1.0","iemand die boosaardig is"
"1744","boze/Boze","1.1","de duivel"
"1745","braadworst","2.0","zonnebader"
"1746","braakpoeder","",""
"1747","Brabander/brabander","1.0","iemand uit Brabant"
"1748","Brabander/brabander","2.0","iemand uit het hertogdom Brabant"
"1749","Brabantse","1.0","vrouw uit Brabant"
"1750","brada","1.0","broer"
"1751","brada","1.1","vriend"
"1752","Brakelaar","1.0","iemand uit Brakel"
"1753","Brakelse","1.0","vrouw uit Brakel"
"1754","brancardier","0.0",""
"1755","branchegenoot","1.0","bedrijf uit dezelfde branche"
"1756","brandblusser","2.0","brandweerman"
"1757","brander","1.0",""
"1758","brandmeester","1.0","brandweerman"
"1759","brandpreventiemedewerker","1.0","werknemer voor brandbeveiliging"
"1760","brandstichter","1.0","iemand die brandsticht"
"1761","brandweercommandant","1.0","bevelhebber bij de brandweer"
"1762","brandweerman","1.0","iemand die brand blust"
"1763","brandweermens","0.0",""
"1764","brandweervrouw","1.0",""
"1765","branieschopper","1.0",""
"1766","brasser","0.0",""
"1767","brave hendrik","1.0","zeer brave man of jongen"
"1768","brave hendrik","2.0","plant"
"1769","braverik","1.0","braaf persoon"
"1770","Braziliaan","1.0","iemand uit Brazili\u00EB"
"1771","Braziliaanse","1.0","vrouw uit Brazili\u00EB"
"1772","breatharian","1.0","iemand die zich voedt met levensenergie"
"1773","Bredanaar","1.0","iemand uit Breda"
"1774","Bredanaar","1.1","lid e.d. van een club uit Breda"
"1775","Bredase","1.0","vrouw uit Breda"
"1776","breeddenkende","1.0","iemand die breeddenkend is"
"1777","breedgeschouderde","1.0","iemand met brede schouders"
"1778","breedparkeerder","1.0","iemand die te veel parkeerruimte gebruikt"
"1779","Bree\u00EBnaar","1.0","iemand uit Bree"
"1780","Bree\u00EBnaar","1.1","lid e.d. van een club uit Bree"
"1781","breigoedfabrikant","0.0",""
"1782","breister","0.0",""
"1783","brekebeen","1.0",""
"1784","breker","1.0",""
"1785","Breukelaar","1.0","iemand uit Breukelen"
"1786","Breukelaar","1.1","lid e.d. van een club uit Breukelen"
"1787","Breukelense","1.0","vrouw uit Breukelen"
"1788","Breukelse","1.0","vrouw uit Breukelen"
"1789","bridgegrootmeester","1.0","bridger met de titel grootmeester"
"1790","bridgejournalist","1.0",""
"1791","bridgespeler","0.0",""
"1792","briefdrager","0.0",""
"1793","briefschrijver","1.0","iemand die een brief schrijft"
"1794","briefschrijver","2.0","iemand die graag brieven schrijft e.d."
"1795","brievenbesteller","1.0","postbode"
"1796","brievenschrijver","0.0",""
"1797","brigadecommandant","0.0",""
"1798","brigadier","1.0","militair met een bepaalde rang"
"1799","brigadier","2.0","politieman met een bepaalde rang"
"1800","brigadier","3.0","rijkswachter met een bepaalde rang"
"1801","brigadier","4.0","klaar-over; verkeersbrigadier"
"1802","brigadier","5.0","helper bij een brigade"
"1803","brigadier","6.0","lagere leidinggevende arbeider"
"1804","brigadier-generaal","0.0",""
