"resultNumber","lemma","senseNumber","snippet"
"257","hoogtepunt","4.0","belangrijkste voorwerp"
"258","hoogtepunt","5.0","belangrijkste tijdspanne"
"259","hoogtepunt","6.0","belangrijkste locatie"
"260","klasse","1.0","categorie in het algemeen"
"261","klasse","2.0","categorie in de biologische taxonomie"
"262","klasse","3.0","maatschappelijke stand"
"263","klasse","4.0","rang"
"264","klasse","5.0","wedstrijdcategorie"
"265","klasse","6.0","kwaliteit"
"266","klasse","7.0","afdeling in het openbaar vervoer, e.d."
"267","leeftijd","1.0","totale levensduur"
"268","leeftijd","2.0","levensduur op zeker tijdstip"
"269","leeftijd","2.1","(betrekkelijk) hoge leeftijd van iemand"
"270","leeftijd","3.0","bestaansduur op zeker tijdstip"
"271","leeftijd","3.1","(betrekkelijk) hoge leeftijd van iets"
"272","leeftijd","4.0","specifieke levensduur als criterium"
"273","leeftijd","5.0","zekere periode van iemands leven"
"274","maand","1.0","kalendermaand"
"275","maand","1.1","maand doorgebracht op specifieke wijze"
"276","maand","2.0","periode van ongeveer 30 dagen"
"277","maand","2.1","maand doorgebracht op specifieke wijze"
"278","maand","3.0","maand in het teken van iets"
"279","maand","4.0","maanmaand"
"280","maand","5.0","hoeveelheid naar een maand berekend"
"281","medium","A.1.0","verbindend element"
"282","medium","A.2.0","communicatiemiddel"
"283","medium","A.2.1","nieuwsmedium"
"284","medium","A.3.0","opslagmedium"
"285","medium","A.8.0","materie waar golven doorheen lopen"
"286","medium","A.8.1","ether"
"287","medium","A.9.0","grammaticale vorm"
"288","NBB/NBb","1.0","Nationale Bank van Belgi\u00EB"
"289","NBB/NBb","2.0","Nederlandse Basketballbond"
"290","NBB/NBb","3.0","Nederlandse Boksbond"
"291","NBB/NBb","4.0","Nederlandse Badmintonbond"
"292","NBB/NBb","5.0","Nederlandse Bridgebond"
"293","NBB/NBb","6.0","Nederlandse Beugelbond"
"294","NBB/NBb","7.0","Nederlandse Boekverkopersbond"
"295","onzin","1.0","nonsens"
"296","onzin","2.0","loos gepraat"
"297","onzin","3.0","zinloze bezigheid"
"298","onzin","4.0","zinloze toestand"
"299","onzin","5.0","taalvorm zonder betekenis"
"300","onzin","6.0","iets onbestaands"
"301","onzin","9.0","gebrek aan zin of nut"
"302","opruiming","1.0","het opruimen; ruiming"
"303","opruiming","1.1","in toepassing op een huis of kamer"
"304","opruiming","1.2","afbraak in de natuur"
"305","opruiming","1.3","vernietiging; wegvaging"
"306","opruiming","1.4","het wegwerken van personen"
"307","opruiming","2.0","uitverkoop; solden"
"308","opruiming","3.0","het opruimen bij voetbal"
"309","spiraal","1.0","open kromme met windingen in een vlak"
"310","spiraal","1.1","tweedimensionale spiraalvorm"
"311","spiraal","1.2","spiraalvormige baan in een plat vlak"
"312","spiraal","4.0","open kromme met windingen in een ruimte"
"313","spiraal","4.1","driedimensionale spiraalvorm"
"314","spiraal","4.2","spiraalvormige baan om een as"
"315","spiraal","4.3","moeilijk doorbreekbare ontwikkeling"
"316","attaque","1.0","beroerte"
"317","attaque","2.0","hartinfarct"
"318","attaque","3.0","aanval"
"319","attaque","3.1","aanval in woord of daad"
"320","attaque","4.0","eerste indruk van geur of smaak"
"321","attaque","5.0","inzet van een muzikale klank of klanken"
"322","bas","1.0","laagste zangstem"
"323","bas","1.2","lage mannenstem"
"324","bas","2.1","muziek van contrabassen"
"325","bas","3.1","basgitaarmuziek"
"326","bas","5.0","laagste geluid in muziek"
"327","bas","6.0","muzieklijn in het laag"
"328","E-woord/e-woord","1.0","het taboewoord &quot;Elfstedentocht&quot;"
"329","E-woord/e-woord","2.0","het taboewoord &quot;Europa&quot;"
"330","E-woord/e-woord","2.1","&quot;Europees voetbal&quot;"
"331","E-woord/e-woord","3.0","het taboewoord &quot;excuus&quot;, &quot;excuses&quot;"
"332","E-woord/e-woord","4.0","het taboewoord &quot;enthousiast&quot;"
"333","E-woord/e-woord","5.0","het taboewoord &quot;epidemie&quot;"
"334","fond","2.0","achtergrond in figuurlijke zin"
"335","fond","3.0","grond; wezen; kern"
"336","fond","5.0","grondslag; basis"
"337","fond","8.0","uithoudingsvermogen"
"338","fond","9.0","lange afstand in de duivensport"
"339","fond","10.0","lange afstand in de atletiek of wielersport"
"340","herfstseizoen","1.0","seizoen van de herfst"
"341","herfstseizoen","1.1","periode van de herfst in een bepaald jaar"
"342","herfstseizoen","2.0","herfstperiode met sportactiviteit"
"343","herfstseizoen","3.0","herfstperiode met culturele evenementen"
"344","herfstseizoen","4.0","herfstperiode met toeristische activiteit"
"345","herfstseizoen","5.0","herfstperiode als verkoopperiode"
"346","hogeschool","1.0","school voor hoger onderwijs"
"347","hogeschool","1.1","schoolbevolking"
"348","hogeschool","1.2","bestuurslichaam van een hogeschool"
"349","hogeschool","1.3","kennisbevorderende omstandigheid"
"350","hogeschool","2.0","instelling voor hoger onderwijs en wetenschappelijk onderzoek, die is onderverdeeld in faculteiten en de bevoegdheid heeft om academische titels toe te kennen; universiteit"
"351","hogeschool","3.0","hogeschooldressuur"
"352","huis","3.1","instelling in betreffend gebouw"
"353","huis","4.1","instelling in betreffend gebouw"
"354","huis","7.0","onderneming; zaak"
"355","huis","7.1","wijndomein; wijngoed"
"356","huis","7.2","horecagelegenheid met standing"
"357","huis","12.0","sector in een horoscooptekening"
"358","kunst","1.0","kennis; kunde"
"359","kunst","2.0","toepassing van kennis"
"360","kunst","3.0","manier om iets te verrichten"
"361","kunst","4.0","creatieve uiting"
"362","kunst","4.2","creatieve stroming"
"363","kunst","5.0","namaak"
"364","lente","1.0","het eerste van de vier jaargetijden"
"365","lente","1.1","lenteseizoen in een bepaald jaar"
"366","lente","1.2","lenteweer"
"367","lente","1.3","levensjaar"
"368","lente","1.4","de begintijd van iets"
"369","lente","2.0","periode van politieke ontspanning"
"370","lenteseizoen","1.0","seizoen van de lente"
"371","lenteseizoen","1.1","periode van de lente in een bepaald jaar"
"372","lenteseizoen","2.0","lenteperiode met sportactiviteit"
"373","lenteseizoen","3.0","lenteperiode met culturele evenementen"
"374","lenteseizoen","4.0","lenteperiode met toeristische activiteit"
"375","lenteseizoen","5.0","lenteperiode als verkoopperiode"
"376","metriek","A.1.0","leer van de versbouw"
"377","metriek","A.1.1","wijze van versbouw"
"378","metriek","A.2.0","leer van de maatsoorten in de muziek"
"379","metriek","A.2.1","wijze van compositie of uitvoering inzake maat of ritme"
"380","metriek","A.3.0","meetsysteem"
"381","metriek","A.4.0","wiskundige functie die afstand uitdrukt"
"382","mot/MOT","A.5.0","felle ruzie"
"383","mot/MOT","A.6.0","slaag"
"384","mot/MOT","A.7.0","klap"
"385","mot/MOT","A.8.0","in de verbindingen <i>iets in de mot hebben</i> en <i>iets</i>..."
"386","mot/MOT","B.1.0","Meldpunt Ongebruikelijke Transacties"
"387","mot/MOT","B.2.0","Meldplicht Ongebruikelijke Transacties"
"388","OMT","1.0","Outbreak Management Team"
"389","OMT","1.1","bijeenkomst, vergadering van het OMT"
"390","OMT","2.0","onderwijsmanagementteam"
"391","OMT","3.0","Outright Monetary Transactions"
"392","OMT","4.0","One More Thing"
"393","OMT","5.0","orthopedische manuele therapie"
"394","onderwijs","1.0","schoolonderricht"
"395","onderwijs","2.0","onderwijsstelsel of deelstelsel ervan"
"396","onderwijs","3.0","opleiding in een onderwijsstelsel"
"397","onderwijs","4.0","onderwijssector"
"398","onderwijs","5.1","bestuurlijke afdeling bevoegd voor onderwijszaken"
"399","onderwijs","6.0","geestelijk-moreel onderricht"
"400","SE/Se","B.1.0","schoolexamen"
"401","SE/Se","B.2.0","Societas Europaea"
"402","SE/Se","B.3.0","special edition"
"403","SE/Se","B.4.0","second edition"
"404","SE/Se","B.5.0","spongiforme encefalopathie"
"405","SE/Se","B.6.0","special effects"
"406","spoor","C.1.2","aanwijzing waar iemand of iets is"
"407","spoor","C.1.3","blijk van aanwezigheid e.d."
"408","spoor","C.2.2","gevolgde weg of route"
"409","spoor","C.2.3","samenstel van handelingen e.d."
"410","spoor","C.4.1","verkeer of vervoer per trein"
"411","spoor","C.4.4","spoorwegbedrijf"
"412","termijn","1.0","begrensde periode die voor iets geldt"
"413","termijn","1.1","periode voor betaling"
"414","termijn","1.2","ambtstermijn"
"415","termijn","1.3","spreekronde in het parlement"
"416","termijn","2.0","toekomstige leveringsperiode"
"417","termijn","3.0","bedrag te betalen binnen een periode"
"418","tussenhandel","1.0","distributiehandel"
"419","tussenhandel","1.1","distributiebedrijf"
"420","tussenhandel","1.2","geheel van distributiebedrijven"
"421","tussenhandel","2.0","handel door grossiers e.d."
"422","tussenhandel","2.1","bedrijf van een grossier e.d."
"423","tussenhandel","2.2","geheel van bedrijven dat goederen distribueert van de groothandel naar de kleinhandel of naar grote afnemers, beschouwd in hun totaliteit als aparte bedrijfstak of in een ander verband, bv. als aaneenschakeling van bedrijven die voor zeker product een specifieke distributieketen vormt van de groothandel naar de kleinhandel"
"424","uitkeringspercentage","1.0","hoogte van sociale uitkeringen"
"425","uitkeringspercentage","2.0","hoogte van een incidentele uitkering"
"426","uitkeringspercentage","3.0","dividenduitkering"
"427","uitkeringspercentage","4.0","hoogte van een verzekeringsuitkering"
"428","uitkeringspercentage","5.0","hoogte van het winstbedrag bij een kansspel"
"429","uitkeringspercentage","5.1","hoogte van het winstbedrag bij gokkasten"
"430","uitverkoop","1.0","opruiming; solden"
"431","uitverkoop","1.1","verkoop van bedrijfsonderdelen"
