"resultNumber","lemma","senseNumber","snippet"
"327","beroepsbevolking","1.0",""
"328","beroepscategorie","1.0",""
"329","beroepscomit\u00E9","0.0",""
"330","beroepscommissie","1.0",""
"331","beroepsgroep","1.0",""
"332","beroepskleding","0.0",""
"333","beroepspersoneel","1.0",""
"334","beroepsvereniging","1.0","belangenvereniging van mensen met hetzelfde beroep"
"335","beslag","1.0","belegsel"
"336","beslag","1.1","hang-en-sluitwerk"
"337","beslag","1.2","scheepsbeslag"
"338","beslag","1.3","hoefbeslag"
"339","besprokene","1.0","dat wat besproken is"
"340","bestek","1.0","eetgerei"
"341","bestek","4.0","periode"
"342","besturenbond","0.0",""
"343","bestuur","1.0",""
"344","bestuursapparaat","1.0",""
"345","bestuurscomit\u00E9","1.0",""
"346","bestuurscommissie","1.0",""
"347","bestuurseenheid","0.0",""
"348","bestuursvoorzittersduo","1.0",""
"349","betaaldvoetbalclub","1.0","voetbalclub voor profvoetballers"
"350","betaaldvoetbalvereniging","1.0","voetbalvereniging voor profvoetballers"
"351","beuk","A.1.1","boomsoort van de beuken"
"352","beuk","A.1.2","een geheel van beuken"
"353","beursapparaat","0.0",""
"354","beursbestuur","1.0",""
"355","beurscommissie","1.0",""
"356","beveiligingsapparatuur","1.0",""
"357","beveiligingsbranche","0.0",""
"358","beveiligingsindustrie","0.0",""
"359","beveiligingspersoneel","1.0","personeel voor de beveiliging"
"360","bever","1.1","diersoort der bevers"
"361","bevolking","1.0",""
"362","bevolkingscategorie","1.0",""
"363","bevolkingsgroep","1.0",""
"364","bewakingsapparatuur","1.0",""
"365","bewakingspersoneel","1.0","personeel voor de bewaking"
"366","bewegingsapparaat","1.0",""
"367","bewijsteam","1.0","team van federale politie"
"368","bewindsploeg","0.0",""
"369","bewonerscomit\u00E9","1.0",""
"370","bewonerscommissie","1.0",""
"371","bewonersgroep","1.0",""
"372","bewonersvereniging","1.0","belangenvereniging voor bewoners"
"373","bezettingsleger","1.0",""
"374","bezettingstroepen","1.0",""
"375","bezoekersgroep","1.0",""
"376","bezoekersstroom","1.0",""
"377","bezuinigingspakket","1.0","geheel van bezuinigingsmaatregelen"
"378","bezwaarschriftencommissie","1.0",""
"379","bibliotheek","1.2","collectie van een bibliotheek"
"380","bibliotheek","1.3","verzameling raadpleegbare documenten"
"381","bibliotheek","1.4","verzameling objecten"
"382","bibliotheek","4.0","priv\u00E9verzameling boeken"
"383","bibliotheek","5.0","catalogus van een uitgeverij"
"384","bibliotheekbranche","0.0",""
"385","bibliotheekcollectie","1.0","collectie van een bibliotheek"
"386","bibliotheekpersoneel","1.0","personeel van een bibliotheek"
"387","biersoort","1.0",""
"388","big agro","1.0","groep grootschalige landbouwbedrijven"
"389","big business","1.1","hogere zakenwereld"
"390","big data","1.0","grote, complexe verzameling data"
"391","big five","1.0","vijf grootste dieren in Afrika"
"392","big five","2.0","vijf persoonlijkheidsdimensies"
"393","big pharma","1.0","groep toonaangevende farmaceuticabedrijven"
"394","big tech","1.0","groep toonaangevende internetbedrijven"
"395","Bijbelgenootschap","",""
"396","Bijbelkring","",""
"397","bijenvolk","1.0",""
"398","bijstandseenheid","0.0",""
"399","bijstandsteam","0.0",""
"400","biljartbond","0.0",""
"401","biljartclub","1.0","biljartvereniging"
"402","biljartsport","2.0","geheel van beoefenaars van de biljartsport"
"403","biljartvereniging","1.0","biljartclub"
"404","bindwerk","1.0",""
"405","bioafval","1.0","biologisch afbreekbaar afval"
"406","bio-industrie","1.0","grootschalige fokkerij"
"407","bio-industrie","1.1","geheel van bedrijven die dieren houden voor een industriematige productie van vlees, melk, eieren enz."
"408","bioscoopbond","0.0",""
